subset_indices,subset_bitmask,num_features,accuracy,error_hE,penalty_hP,fitness_h
"(1, 2, 3, 4, 7, 9, 10, 11)",0111100101110,8,0.8148148148148148,0.18518518518518523,0.08,0.26518518518518525
"(1, 2, 3, 4, 7, 9, 10, 11, 12)",0111100101111,9,0.8641975308641975,0.13580246913580252,0.09,0.2258024691358025
"(1, 2, 3, 4, 7, 8)",0111100110000,6,0.7160493827160493,0.28395061728395066,0.06,0.34395061728395065
"(1, 2, 3, 4, 7, 8, 12)",0111100110001,7,0.8024691358024691,0.19753086419753085,0.07,0.26753086419753086
"(1, 2, 3, 4, 7, 8, 11)",0111100110010,7,0.8024691358024691,0.19753086419753085,0.07,0.26753086419753086
"(1, 2, 3, 4, 7, 8, 11, 12)",0111100110011,8,0.8024691358024691,0.19753086419753085,0.08,0.27753086419753087
"(1, 2, 3, 4, 7, 8, 10)",0111100110100,7,0.7777777777777778,0.2222222222222222,0.07,0.2922222222222222
"(1, 2, 3, 4, 7, 8, 10, 12)",0111100110101,8,0.8024691358024691,0.19753086419753085,0.08,0.27753086419753087
"(1, 2, 3, 4, 7, 8, 10, 11)",0111100110110,8,0.8271604938271605,0.1728395061728395,0.08,0.2528395061728395
"(1, 2, 3, 4, 7, 8, 10, 11, 12)",0111100110111,9,0.8271604938271605,0.1728395061728395,0.09,0.26283950617283947
"(1, 2, 3, 4, 7, 8, 9)",0111100111000,7,0.8395061728395061,0.16049382716049387,0.07,0.23049382716049388
"(1, 2, 3, 4, 7, 8, 9, 12)",0111100111001,8,0.8765432098765432,0.12345679012345678,0.08,0.2034567901234568
"(1, 2, 3, 4, 7, 8, 9, 11)",0111100111010,8,0.8518518518518519,0.14814814814814814,0.08,0.22814814814814816
"(1, 2, 3, 4, 7, 8, 9, 11, 12)",0111100111011,9,0.9012345679012346,0.09876543209876543,0.09,0.18876543209876542
"(1, 2, 3, 4, 7, 8, 9, 10)",0111100111100,8,0.7901234567901234,0.2098765432098766,0.08,0.2898765432098766
"(1, 2, 3, 4, 7, 8, 9, 10, 12)",0111100111101,9,0.8271604938271605,0.1728395061728395,0.09,0.26283950617283947
"(1, 2, 3, 4, 7, 8, 9, 10, 11)",0111100111110,9,0.8395061728395061,0.16049382716049387,0.09,0.25049382716049384
"(1, 2, 3, 4, 7, 8, 9, 10, 11, 12)",0111100111111,10,0.8641975308641975,0.13580246913580252,0.1,0.23580246913580252
"(1, 2, 3, 4, 6)",0111101000000,5,0.7530864197530864,0.24691358024691357,0.05,0.29691358024691356
"(1, 2, 3, 4, 6, 12)",0111101000001,6,0.7777777777777778,0.2222222222222222,0.06,0.2822222222222222
"(1, 2, 3, 4, 6, 11)",0111101000010,6,0.7407407407407407,0.2592592592592593,0.06,0.3192592592592593
"(1, 2, 3, 4, 6, 11, 12)",0111101000011,7,0.8271604938271605,0.1728395061728395,0.07,0.2428395061728395
"(1, 2, 3, 4, 6, 10)",0111101000100,6,0.7407407407407407,0.2592592592592593,0.06,0.3192592592592593
"(1, 2, 3, 4, 6, 10, 12)",0111101000101,7,0.7901234567901234,0.2098765432098766,0.07,0.2798765432098766
"(1, 2, 3, 4, 6, 10, 11)",0111101000110,7,0.7654320987654321,0.23456790123456794,0.07,0.30456790123456795
"(1, 2, 3, 4, 6, 10, 11, 12)",0111101000111,8,0.8518518518518519,0.14814814814814814,0.08,0.22814814814814816
"(1, 2, 3, 4, 6, 9)",0111101001000,6,0.8148148148148148,0.18518518518518523,0.06,0.24518518518518523
"(1, 2, 3, 4, 6, 9, 12)",0111101001001,7,0.8148148148148148,0.18518518518518523,0.07,0.25518518518518524
"(1, 2, 3, 4, 6, 9, 11)",0111101001010,7,0.7777777777777778,0.2222222222222222,0.07,0.2922222222222222
"(1, 2, 3, 4, 6, 9, 11, 12)",0111101001011,8,0.8888888888888888,0.11111111111111116,0.08,0.19111111111111118
"(1, 2, 3, 4, 6, 9, 10)",0111101001100,7,0.7530864197530864,0.24691358024691357,0.07,0.3169135802469136
"(1, 2, 3, 4, 6, 9, 10, 12)",0111101001101,8,0.8024691358024691,0.19753086419753085,0.08,0.27753086419753087
"(1, 2, 3, 4, 6, 9, 10, 11)",0111101001110,8,0.7777777777777778,0.2222222222222222,0.08,0.3022222222222222
"(1, 2, 3, 4, 6, 9, 10, 11, 12)",0111101001111,9,0.8641975308641975,0.13580246913580252,0.09,0.2258024691358025
"(1, 2, 3, 4, 6, 8)",0111101010000,6,0.7407407407407407,0.2592592592592593,0.06,0.3192592592592593
"(1, 2, 3, 4, 6, 8, 12)",0111101010001,7,0.7777777777777778,0.2222222222222222,0.07,0.2922222222222222
"(1, 2, 3, 4, 6, 8, 11)",0111101010010,7,0.7407407407407407,0.2592592592592593,0.07,0.3292592592592593
"(1, 2, 3, 4, 6, 8, 11, 12)",0111101010011,8,0.8271604938271605,0.1728395061728395,0.08,0.2528395061728395
"(1, 2, 3, 4, 6, 8, 10)",0111101010100,7,0.7777777777777778,0.2222222222222222,0.07,0.2922222222222222
"(1, 2, 3, 4, 6, 8, 10, 12)",0111101010101,8,0.7654320987654321,0.23456790123456794,0.08,0.31456790123456796
"(1, 2, 3, 4, 6, 8, 10, 11)",0111101010110,8,0.7901234567901234,0.2098765432098766,0.08,0.2898765432098766
"(1, 2, 3, 4, 6, 8, 10, 11, 12)",0111101010111,9,0.8518518518518519,0.14814814814814814,0.09,0.23814814814814814
"(1, 2, 3, 4, 6, 8, 9)",0111101011000,7,0.7901234567901234,0.2098765432098766,0.07,0.2798765432098766
"(1, 2, 3, 4, 6, 8, 9, 12)",0111101011001,8,0.8518518518518519,0.14814814814814814,0.08,0.22814814814814816
"(1, 2, 3, 4, 6, 8, 9, 11)",0111101011010,8,0.8271604938271605,0.1728395061728395,0.08,0.2528395061728395
"(1, 2, 3, 4, 6, 8, 9, 11, 12)",0111101011011,9,0.8888888888888888,0.11111111111111116,0.09,0.20111111111111116
"(1, 2, 3, 4, 6, 8, 9, 10)",0111101011100,8,0.7654320987654321,0.23456790123456794,0.08,0.31456790123456796
